gene	rice-defline
AC190829.3_FG002	START domain containing protein, expressed
AC190832.2_FG005	P-protein, putative, expressed
AC190834.3_FG005	tRNA-splicing endonuclease positive effector-related, putative, expressed
AC190845.2_FG001	FAR1 family protein, expressed
AC190850.3_FG004	Leucine Rich Repeat family protein, expressed
AC190853.3_FG004	pentatricopeptide containing protein, putative, expressed
AC190858.3_FG001	transketolase, putative, expressed
AC190858.3_FG004	expressed protein
AC190859.3_FG006	CESA1 - cellulose synthase, expressed
AC190860.2_FG008	disease resistance protein RPS2, putative, expressed
AC190872.2_FG001	sucrose-phosphate synthase, putative, expressed
AC190885.4_FG006	DUF567 domain containing protein, putative, expressed
AC190907.3_FG003	OsSub55 - Putative Subtilisin homologue, expressed
AC190909.3_FG001	retrotransposon protein, putative, unclassified, expressed
AC190909.3_FG003	1,3-beta-glucan synthase component domain containing protein, expressed
AC190909.3_FG004	1,3-beta-glucan synthase component domain containing protein, expressed
AC190910.2_FG001	AMP-binding domain containing protein, expressed
AC190913.3_FG002	expressed protein
AC190915.3_FG007	expressed protein
AC190932.3_FG008	expressed protein
AC190933.3_FG004	universal stress protein domain containing protein, putative, expressed
AC190936.1_FG004	expressed protein
AC190940.3_FG005	OsLonP3 - Putative Lon protease homologue, expressed
AC190968.2_FG009	endonuclease/Exonuclease/phosphatase family protein, expressed
AC190975.3_FG004	xylose isomerase, putative, expressed
AC190981.2_FG007	DUF740 domain containing protein, expressed
AC190990.2_FG005	retrotransposon protein, putative, unclassified, expressed
AC190992.2_FG009	protein kinase, putative, expressed
AC190996.4_FG001	expressed protein
AC190999.2_FG004	DNA repair metallo-beta-lactamase family protein, expressed
AC191009.3_FG004	snRK1-interacting protein 1, putative, expressed
AC191015.2_FG004	zinc knuckle family protein, expressed
AC191042.4_FG001	cadmium tolerance factor, putative, expressed
AC191046.2_FG002	proton pump interactor, putative, expressed
AC191048.2_FG006	prenylated rab acceptor, putative, expressed
AC191050.3_FG003	cupin domain containing protein, expressed
AC191067.3_FG005	expressed protein
AC191069.3_FG004	expressed protein
AC191070.3_FG002	CK1_CaseinKinase_1.6 - CK1 includes the casein kinase 1 kinases, expressed
AC191070.3_FG006	AGC_PVPK_like_kin82y.20 - ACG kinases include homologs to PKA, PKG and PKC, expressed
AC191071.3_FG001	flavin-containing monooxygenase family protein, putative, expressed
AC191072.3_FG006	retrotransposon protein, putative, unclassified, expressed
AC191073.2_FG001	GRF zinc finger family protein, expressed
AC191091.1_FG005	homeobox domain containing protein, expressed
AC191097.3_FG007	cytochrome b561, putative, expressed
AC191107.4_FG001	zinc knuckle family protein, expressed
AC191107.4_FG002	amine oxidase family protein, putative, expressed
AC191113.2_FG002	expressed protein
AC191115.3_FG002	protein kinase family protein, putative, expressed
AC191246.3_FG002	hydrolase, NUDIX family, domain containing protein, expressed
AC191246.3_FG006	pentatricopeptide, putative, expressed
AC191251.3_FG005	expressed protein
AC191253.3_FG004	MYB family transcription factor, putative, expressed
AC191254.3_FG001	expressed protein
AC191254.3_FG003	transposon protein, putative, unclassified, expressed
AC191255.2_FG003	WD domain, G-beta repeat domain containing protein, expressed
AC191257.3_FG002	expressed protein
AC191257.3_FG006	pumilio-family RNA binding repeat containing protein, expressed
AC191257.3_FG010	retrotransposon protein, putative, LINE subclass, expressed
AC191264.3_FG002	expressed protein
AC191272.3_FG003	transcription factor, putative, expressed
AC191273.3_FG003	B4-BTB3 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with B4 subfamily conserved sequence, expressed
AC191279.2_FG001	RD26, putative, expressed
AC191279.2_FG003	RD26, putative, expressed
AC191281.3_FG003	oxidoreductase, short chain dehydrogenase/reductase family protein, putative, expressed
AC191283.3_FG004	expressed protein
AC191287.2_FG001	RFC1 - Putative clamp loader of PCNA, replication factor C subunit 1, expressed
AC191304.3_FG012	MATE efflux family protein, putative, expressed
AC191306.3_FG004	copper-transporting ATPase PAA1, putative, expressed
AC191315.2_FG003	PWWP domain containing protein, expressed
AC191325.3_FG005	CAMK_CAMK_like.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
AC191325.3_FG006	cytochrome P450, putative, expressed
AC191330.3_FG001	zinc knuckle family protein, expressed
AC191330.3_FG009	pentatricopeptide, putative, expressed
AC191359.3_FG003	expressed protein
AC191366.2_FG006	expressed protein
AC191375.3_FG001	RALFL4 - Rapid ALkalinization Factor RALF family protein precursor, expressed
AC191379.3_FG002	potassium channel protein, putative, expressed
AC191401.3_FG012	DEK C terminal domain containing protein, expressed
AC191401.3_FG013	expressed protein
AC191410.4_FG004	hydrolase, alpha/beta fold family domain containing protein, expressed
AC191412.3_FG002	T-complex protein, putative, expressed
AC191521.3_FG004	expressed protein
AC191523.3_FG001	double-strand break repair protein MRE11, putative, expressed
AC191524.3_FG007	BT1 family protein, putative, expressed
AC191526.3_FG001	zinc knuckle family protein, expressed
AC191532.3_FG002	expressed protein
AC191534.3_FG003	zinc finger, C3HC4 type domain containing protein, expressed
AC191541.4_FG005	peptidase, T1 family, putative, expressed
AC191548.3_FG010	MYST-like histone acetyltransferase 1, putative, expressed
AC191551.3_FG003	chalcone synthase, putative, expressed
AC191562.3_FG003	tyrosine protein kinase domain containing protein, putative, expressed
AC191563.3_FG002	POLD1 - Putative DNA polymerase delta catalytic subunit, expressed
AC191566.3_FG001	carbohydrate binding protein, putative, expressed
AC191567.3_FG001	expressed protein
AC191567.3_FG002	TKL_IRAK_DUF26-la.1 - DUF26 kinases have homology to DUF26 containing loci, expressed
AC191575.2_FG001	haloacid dehalogenase-like hydrolase family protein, putative, expressed
AC191601.1_FG003	expressed protein
AC191622.3_FG003	uncharacterized protein PA4923, putative, expressed
AC191623.3_FG007	GHMP kinases ATP-binding protein, putative, expressed
AC191633.3_FG003	retrotransposon protein, putative, LINE subclass, expressed
AC191650.3_FG003	Zinc finger, C3HC4 type domain containing protein, expressed
AC191658.3_FG002	PPR repeat domain containing protein, putative, expressed
AC191658.3_FG007	HEAT repeat family protein, putative, expressed
AC191676.3_FG011	hsp20/alpha crystallin family protein, putative, expressed
AC191691.3_FG011	flavin monooxygenase, putative, expressed
AC191708.3_FG001	RD26, putative, expressed
AC191708.3_FG002	RD26, putative, expressed
AC191713.3_FG001	src homology-3 domain protein 3, putative, expressed
AC191718.3_FG001	TKL_IRAK_CrRLK1L-1.6 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed
AC191735.3_FG009	expressed protein
AC191748.3_FG001	expressed protein
AC191759.3_FG003	40S ribosomal protein S6, putative, expressed
AC191759.3_FG008	zinc finger, C3HC4 type domain containing protein, expressed
AC191771.3_FG008	expressed protein
AC191775.4_FG004	DNA-directed RNA polymerase 1B, mitochondrial precursor, putative, expressed
AC191781.4_FG004	harpin-induced protein 1 domain containing protein, expressed
AC191790.3_FG005	expressed protein
AC191802.3_FG004	heparanase-like protein precursor, putative, expressed
AC191803.3_FG006	retrotransposon protein, putative, unclassified, expressed
AC191926.3_FG001	cysteine proteinase inhibitor precursor protein, putative, expressed
AC191961.3_FG009	tRNA-splicing endonuclease positive effector-related, putative, expressed
AC192204.3_FG005	chlorophyll A-B binding protein, putative, expressed
AC192210.3_FG005	TKL_IRAK_CR4L.6 - The CR4L subfamily has homology with Crinkly4, expressed
AC192224.3_FG002	expressed protein
AC192226.3_FG007	hAT dimerisation domain-containing protein, putative
AC192236.3_FG007	NB-ARC domain containing protein, expressed
AC192240.3_FG004	STE_MEKK_ste11_MAP3K.18 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
AC192244.3_FG002	DnaK family protein, putative, expressed
AC192244.3_FG006	AMP-binding domain containing protein, expressed
AC192244.3_FG007	cytidylyltransferase domain containing protein, expressed
AC192250.3_FG006	maltose excess protein 1-like, chloroplast precursor, putative, expressed
AC192251.3_FG001	retrotransposon protein, putative, unclassified, expressed
AC192267.3_FG001	rickettsia 17 kDa surface antigen family protein, expressed
AC192330.1_FG004	zinc knuckle family protein, expressed
AC192356.3_FG003	expressed protein
AC192362.3_FG003	expressed protein
AC192367.2_FG002	formin, putative, expressed
AC192368.3_FG010	GATA zinc finger domain containing protein, expressed
AC192377.3_FG002	NADP-dependent malic enzyme, chloroplast precursor, putative, expressed
AC192405.3_FG001	transposon protein, putative, CACTA, En/Spm sub-class, expressed
AC192451.3_FG001	reticulon domain containing protein, putative, expressed
AC192595.3_FG001	lissencephaly type-1-like homology motif, putative, expressed
AC192606.3_FG003	expressed protein
AC193324.3_FG002	niemann-Pick C1 protein precursor, putative, expressed
AC193355.3_FG005	SEY1, putative, expressed
AC193362.3_FG002	3-ketoacyl-CoA synthase 10, putative, expressed
AC193379.3_FG001	leucine-rich repeat family protein, putative, expressed
AC193382.3_FG002	pre-mRNA-processing factor 6, putative, expressed
AC193388.3_FG003	phototropic-responsive NPH3 family protein, putative, expressed
AC193401.3_FG004	zinc finger, C3HC4 type domain containing protein, expressed
AC193415.3_FG001	pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed
AC193426.3_FG003	zinc knuckle family protein, expressed
AC193430.3_FG005	exo70 exocyst complex subunit, putative, expressed
AC193441.3_FG009	zinc knuckle family protein, expressed
AC193445.3_FG003	C-methyltransferase, putative, expressed
AC193485.3_FG005	thiol protease SEN102 precursor, putative, expressed
AC193492.3_FG003	no apical meristem protein, putative, expressed
AC193498.4_FG004	U-box domain containing protein, expressed
AC193500.3_FG003	flavin-containing monooxygenase family protein, putative, expressed
AC193591.3_FG001	expressed protein
AC193592.3_FG001	zinc finger, C3HC4 type domain containing protein, expressed
AC193595.3_FG001	transmembrane protein, putative, expressed
AC193598.3_FG002	disease resistant protein, identical, putative, expressed
AC193606.2_FG001	expressed protein
AC193606.2_FG005	expressed protein
AC193625.3_FG007	ABC transporter, ATP-binding protein, putative, expressed
AC193625.3_FG010	Ubiquitin family domain containing protein, expressed
AC193630.3_FG003	WRKY73, expressed
AC193630.3_FG004	WRKY73, expressed
AC193632.2_FG002	Protein kinase domain containing protein, expressed
AC193645.3_FG006	expressed protein
AC193745.3_FG004	expressed protein
AC193753.3_FG005	palmitoyltransferase TIP1, putative, expressed
AC193754.3_FG008	MSH-like DNA mismatch repair protein, putative, expressed
AC193767.3_FG003	auxin response factor, putative, expressed
AC193786.3_FG005	helix-loop-helix DNA-binding domain containing protein, expressed
AC193787.3_FG001	retrotransposon protein, putative, unclassified, expressed
AC193957.3_FG009	lectin protein kinase family protein, putative, expressed
AC193972.3_FG002	Mad3/BUB1 homology region 1 domain containing protein, expressed
AC193986.3_FG006	structural constituent of ribosome, putative, expressed
AC194005.3_FG004	expressed protein
AC194017.3_FG001	DnaK family protein, putative, expressed
AC194020.3_FG001	monocopper oxidase, putative, expressed
AC194022.3_FG001	early fruit mRNA, putative, expressed
AC194022.3_FG013	expressed protein
AC194022.3_FG014	early fruit mRNA, putative, expressed
AC194027.3_FG001	peroxidase precursor, putative, expressed
AC194032.3_FG010	pre-mRNA-splicing factor SF2, putative, expressed
AC194039.4_FG009	expressed protein
AC194047.3_FG001	ankyrin repeat family protein, putative, expressed
AC194056.3_FG008	VQ domain containing protein, putative, expressed
AC194069.3_FG003	40S ribosomal protein S4, putative, expressed
AC194074.4_FG003	expressed protein
AC194083.2_FG001	harpin-induced protein 1 domain containing protein, expressed
AC194091.2_FG001	OsNucAP1 - Putative Nucleoporin Autopeptidase homologue, expressed
AC194098.3_FG003	phosphoesterase, putative, expressed
AC194099.3_FG003	immunoglobulin/major histocompatibility complex, putative, expressed
AC194102.3_FG002	kinesin motor domain containing protein, putative, expressed
AC194104.3_FG007	expressed protein
AC194104.3_FG010	expressed protein
AC194107.3_FG007	pre-mRNA-splicing factor ATP-dependent RNA helicase, putative, expressed
AC194109.3_FG002	jmjC domain containing protein, expressed
AC194109.3_FG005	AMP-binding enzyme, putative, expressed
AC194112.3_FG001	ABC-2 type transporter domain containing protein, expressed
AC194133.3_FG004	ribosomal protein L5, putative, expressed
AC194136.3_FG001	heat shock protein DnaJ, putative, expressed
AC194139.3_FG005	TOPBP1B - Similar to DNA replication protein TOPBP1 from, expressed
AC194158.3_FG005	PLA IIIA/PLP7, putative, expressed
AC194163.3_FG001	retrotransposon protein, putative, unclassified, expressed
AC194164.3_FG004	expressed protein
AC194172.3_FG008	CAF1 family ribonuclease containing protein, putative, expressed
AC194180.3_FG004	expressed protein
AC194180.3_FG012	Spc97 / Spc98 family protein, putative, expressed
AC194192.3_FG002	OsSub55 - Putative Subtilisin homologue, expressed
AC194193.3_FG002	TRAF-type zinc finger family protein, expressed
AC194203.3_FG003	LTPL56 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
AC194214.3_FG001	ceramide kinase-related, putative, expressed
